Unnamed: 0,outcome,ss-1,ts-1,knocks-1,tkd-lnd-1,tkd-att-1,sub-att-1,h-tar-1,b-tar-1,l-tar-1,dist-pos-1,clinch-pos-1,ground-pos-1,r1-ts-1,r1-ss-1,r2-ts-1,r2-ss-1,r3-ts-1,r3-ss-1,r4-ts-1,r4-ss-1,r5-ts-1,r5-ss-1,r1-td-1,r2-td-1,r3-td-1,r4-td-1,r5-td-1,r1-kd-1,r2-kd-1,r3-kd-1,r4-kd-1,r5-kd-1,age-1,height-1,weight-1,reach-1,leg_reach-1,ranking-1,ss-2,ts-2,knocks-2,tkd-lnd-2,tkd-att-2,sub-att-2,h-tar-2,b-tar-2,l-tar-2,dist-pos-2,clinch-pos-2,ground-pos-2,r1-ts-2,r1-ss-2,r2-ts-2,r2-ss-2,r3-ts-2,r3-ss-2,r4-ts-2,r4-ss-2,r5-ts-2,r5-ss-2,r1-td-2,r2-td-2,r3-td-2,r4-td-2,r5-td-2,r1-kd-2,r2-kd-2,r3-kd-2,r4-kd-2,r5-kd-2,age-2,height-2,weight-2,reach-2,leg_reach-2,ranking-2
3760,0,49,85,0,2,10.0,0,45,3,1,38,4,7,31,13,29.0,13.0,52.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,64.0,115.5,63.5,32.0,1363.3806655592484,96,123,0,0,0.0,0,62,5,29,91,5,0,37,19,58.0,25.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,65.0,125.5,64.0,39.0,1490.07871751445
3761,0,40,42,0,0,0.0,0,35,5,0,37,3,0,12,3,56.0,25.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,69.0,155.5,70.5,41.0,1731.0700075764582,76,120,1,3,,0,57,16,3,37,6,33,34,24,50.0,17.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,70.0,170.0,71.0,40.0,2070.5680832692515
3762,0,65,70,0,0,0.0,0,51,9,5,49,8,8,66,17,70.0,21.0,65.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.86253008825889,70.02935276811982,166.20581706338595,71.88410232266165,40.14344005021971,1637.9292519388412,81,83,0,0,,0,39,24,18,70,11,0,63,25,66.0,29.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,66.0,126.0,66.0,38.0,945.3505931740716
3763,1,92,102,0,0,0.0,0,31,31,30,64,28,0,69,35,59.0,29.0,83.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,73.0,184.5,75.5,40.5,1894.1754155487613,65,66,1,0,,0,54,10,1,48,17,0,23,8,63.0,36.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,73.0,186.0,75.0,43.5,1070.3784649604047
3764,1,76,86,0,0,0.0,0,40,12,24,67,4,5,54,37,50.0,23.0,54.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,66.0,136.0,64.5,36.0,1530.484665267308,69,79,0,4,,1,41,17,11,65,3,1,56,28,35.0,18.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,67.0,135.5,69.0,38.0,1225.0897984145292
3765,0,8,8,0,0,0.0,0,2,0,6,8,0,0,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,70.0,171.0,71.0,40.0,1737.0624020367457,5,5,1,0,,0,4,1,0,5,0,0,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,74.0,171.0,75.0,42.5,981.6347915029816
3766,1,54,63,0,2,4.0,1,42,8,4,27,1,26,75,40,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,69.0,156.0,74.0,40.5,1687.617892008176,20,20,0,0,0.0,0,12,6,2,19,1,0,49,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,71.0,155.5,71.0,41.0,1309.5115714324604
3767,0,19,24,1,0,0.0,0,15,0,4,3,9,7,31,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,72.0,221.0,75.0,41.0,1629.1371655575751,31,33,1,0,,0,12,10,9,11,10,10,45,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,76.0,205.0,78.0,46.0,1649.7730872343336
3768,1,26,37,1,0,0.0,0,20,4,2,15,0,11,23,10,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.86253008825889,70.02935276811982,166.20581706338595,71.88410232266165,40.14344005021971,1637.9292519388412,16,16,0,0,,0,9,4,3,10,6,0,32,12,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,74.0,282.0,75.0,39.5,1556.726058385012
3769,1,30,62,1,3,5.0,0,23,2,5,12,1,17,21,10,11.0,6.0,24.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,73.0,205.0,76.0,40.5,689.3070129048414,31,36,0,0,0.0,1,21,9,1,21,10,0,41,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,75.0,205.5,79.0,43.5,1550.1409513506956
3770,0,19,19,0,0,0.0,0,3,11,5,19,0,0,21,9,17.0,6.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,70.0,264.0,72.0,43.5,1601.2660501850216,59,59,0,0,,0,45,3,11,59,0,0,21,6,30.0,22.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,73.0,266.0,78.0,41.0,1601.072583371825
3771,0,24,27,0,0,0.0,1,15,6,3,23,1,0,31,14,36.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,71.5,170.0,73.0,43.0,2147.1284142506297,25,33,0,0,,1,15,1,9,23,1,1,26,6,51.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,72.0,170.5,73.5,41.0,1365.4341963670129
3772,0,5,6,0,0,0.0,0,1,3,1,3,2,0,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,68.0,145.0,72.0,39.5,1450.0,23,44,0,0,,0,18,4,1,19,4,0,43,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,69.0,155.5,71.0,40.0,1608.9932242123805
